,product,link,review_count,star
79,베베앙 오리지널 아기물티슈 캡형 100매 x 10팩,https://www.11st.co.kr/products/3651597884?inpu=&trTypeCd=&trCtgrNo=,4164,4.7
80,KF94 KF-AD 여름용 아이코코 마스크 비말차단 / 컬러에디션 초소형 소형 S N M L 중형,https://www.11st.co.kr/products/3307350168?inpu=&trTypeCd=&trCtgrNo=,28375,4.8
81,"[슈마커]30%쿠폰,아디다스/푸마/웨버 신학기 운동화,스니커즈",https://www.11st.co.kr/products/2028452323?inpu=&trTypeCd=&trCtgrNo=,7541,4.5
82,락토핏 생유산균 5X 골드 3통(150포)+30포증정외 인기 영양제 모음,https://www.11st.co.kr/products/4002274345?inpu=&trTypeCd=&trCtgrNo=,2359,4.8
83,Double A A4용지 80g 2박스(5000매) 더블에이,https://www.11st.co.kr/products/2736747791?inpu=&trTypeCd=&trCtgrNo=,1197,4.8
84,오쏘몰 이뮨 드링크+정제 30일분 2개,https://www.11st.co.kr/products/4383849923?inpu=&trTypeCd=&trCtgrNo=,345,4.9
85,[최종11.500]순수한면 생리대 입는 오버나이트6P x 4팩+증.정/2세트이상 중복 사은,https://www.11st.co.kr/products/3016650611?inpu=&trTypeCd=&trCtgrNo=,1218,4.7
86,정관장 홍삼원 50ml 30포(쇼핑백포함),https://www.11st.co.kr/products/4764784992?inpu=&trTypeCd=&trCtgrNo=,,
87,[오늘예판마감][자급제]삼성 갤럭시 Z폴드4 256GB 5G/LTE 유심호환 SM-F936N,https://www.11st.co.kr/products/4737995550?inpu=&trTypeCd=&trCtgrNo=,131,5
88,[조정석 양배추즙] GNM자연의품격 유기농 양배추 브로콜리진액 실속구성 90ml*100포,https://www.11st.co.kr/products/2374844978?inpu=&trTypeCd=&trCtgrNo=,88,4.8
89,[포장전용]피자헛 립스테이크 골드바이트 L+콜라1.25L,https://www.11st.co.kr/products/4782780837?inpu=&trTypeCd=&trCtgrNo=,65,4.7
90,SK루브리컨츠 지크 탑 5W30 LS 1L (ZIC TOP LS),https://www.11st.co.kr/products/2031408734?inpu=&trTypeCd=&trCtgrNo=,3325,4.8
91,"[KF94 100매=13,200원]아보아 대형 올컬러 국내생산 개별포장 비말차단 일회용마스크",https://www.11st.co.kr/products/4464769380?inpu=&trTypeCd=&trCtgrNo=,267,4.7
92,[카드할인] Apple 아이폰 13 프로 자급제 256GB - 알파인 그린 [MNE33KH/A],https://www.11st.co.kr/products/4494623099?inpu=&trTypeCd=&trCtgrNo=,55,4.9
